,name,base_total,generation,img,type1,type2,is_starter,is_legendary,is_pseudo_legendary,is_fossil,against_normal,against_fighting,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark,against_fairy,is_rby,is_gsc,is_rse,is_frlg,is_dp,is_plat,is_hgss,is_bw,is_bw2,is_xy,is_oras,is_sm,is_usum,is_swsh,is_bdsp,is_sv
14,beedrill,395,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
15,pidgey,251,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
16,pidgeotto,349,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
17,pidgeot,479,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
18,rattata,253,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False
19,raticate,413,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False
20,spearow,262,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/spearow.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False
21,fearow,442,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/fearow.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False
22,ekans,288,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/ekans.png,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
23,arbok,448,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/arbok.png,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
24,pikachu,320,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True
25,raichu,485,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True
26,sandshrew,300,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew.png,ground,,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,True,True,True,True,False,False,True,False,True,True,True,True,True,False,False,False
27,sandslash,450,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash.png,ground,,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,True,True,True,True,False,False,True,False,True,True,True,True,True,False,False,False
28,nidoran♀,275,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-f.png,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
29,nidorina,365,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorina.png,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
30,nidoqueen,505,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoqueen.png,poison,ground,0,0,0,0,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
31,nidoran♂,273,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-m.png,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
32,nidorino,365,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorino.png,poison,,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
33,nidoking,505,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoking.png,poison,ground,0,0,0,0,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
34,clefairy,323,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefairy.png,fairy,,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,False
35,clefable,483,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefable.png,fairy,,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,False
36,vulpix,299,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,True,True,True,True,False,False,True,False,True,False,True,True,True,True,False,False
37,ninetales,505,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,True,True,True,True,False,False,True,False,True,False,True,True,True,True,False,False
38,jigglypuff,270,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png,normal,fairy,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,True,True,True,True,False,False,True,False,True,True,True,True,True,False,False,True
39,wigglytuff,435,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png,normal,fairy,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,True,True,True,True,False,False,True,False,True,True,True,True,True,False,False,True
40,zubat,245,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/zubat.png,poison,flying,0,0,0,0,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
41,golbat,455,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/golbat.png,poison,flying,0,0,0,0,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
42,oddish,320,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/oddish.png,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,False
43,gloom,395,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/gloom.png,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,False
44,vileplume,490,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/vileplume.png,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,False
45,paras,285,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/paras.png,bug,grass,0,0,0,0,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False
46,parasect,405,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/parasect.png,bug,grass,0,0,0,0,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False
47,venonat,305,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/venonat.png,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
48,venomoth,450,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/venomoth.png,bug,poison,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
49,diglett,265,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett.png,ground,,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True
50,dugtrio,425,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio.png,ground,,0,0,0,0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,True,False,True
51,meowth,290,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,False,False,True,True,True,False,True
52,persian,440,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/persian.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,False,False,True,True,True,False,True
53,psyduck,320,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/psyduck.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True
54,golduck,500,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/golduck.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True
55,mankey,305,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/mankey.png,fighting,,0,0,0,0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True
56,primeape,455,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/primeape.png,fighting,,0,0,0,0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,True,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True
57,growlithe,350,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,True,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True
58,arcanine,555,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,True,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True
59,poliwag,300,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwag.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False
60,poliwhirl,385,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwhirl.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False
61,poliwrath,510,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwrath.png,water,fighting,0,0,0,0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,1.0,0.5,2.0,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False
62,abra,310,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/abra.png,psychic,,0,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False
63,kadabra,400,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/kadabra.png,psychic,,0,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False
64,alakazam,500,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam.png,psychic,,0,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False
65,machop,305,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/machop.png,fighting,,0,0,0,0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False
66,machoke,405,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/machoke.png,fighting,,0,0,0,0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False
67,machamp,505,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/machamp.png,fighting,,0,0,0,0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False
68,bellsprout,300,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/bellsprout.png,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
69,weepinbell,390,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/weepinbell.png,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
70,victreebel,490,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/victreebel.png,grass,poison,0,0,0,0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False
71,tentacool,335,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacool.png,water,poison,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,0.5,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False
72,tentacruel,515,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacruel.png,water,poison,0,0,0,0,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,0.5,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False
73,geodude,300,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude.png,rock,ground,0,0,0,0,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False
74,graveler,390,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler.png,rock,ground,0,0,0,0,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False
75,golem,495,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/golem.png,rock,ground,0,0,0,0,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False
76,ponyta,410,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,True,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False
77,rapidash,500,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash.png,fire,,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,True,True,False,True,True,True,True,False,False,False,False,False,False,True,True,False
78,slowpoke,315,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke.png,water,psychic,0,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,1.0,2.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,True
79,slowbro,490,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro.png,water,psychic,0,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,1.0,2.0,1.0,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,True
80,magnemite,325,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/magnemite.png,electric,steel,0,0,0,0,0.5,2.0,0.25,0.0,4.0,0.5,0.5,1.0,0.25,2.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True
81,magneton,465,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/magneton.png,electric,steel,0,0,0,0,0.5,2.0,0.25,0.0,4.0,0.5,0.5,1.0,0.25,2.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True
82,farfetch'd,377,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
