name,base_total,generation,img,type1,type2,is_starter,is_legendary,is_pseudo_legendary,is_fossil,against_normal,against_fighting,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark,against_fairy
spidops,404,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/spidops.png,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
nymble,210,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/nymble.png,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
lokix,450,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/lokix.png,bug,dark,0,0,0,0,1.0,1.0,2.0,1.0,0.5,2.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0
hoppip,250,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/hoppip.png,grass,flying,0,0,0,0,1.0,0.5,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.5,0.25,1.0,1.0,4.0,1.0,1.0,1.0
skiploom,340,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/skiploom.png,grass,flying,0,0,0,0,1.0,0.5,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.5,0.25,1.0,1.0,4.0,1.0,1.0,1.0
jumpluff,460,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/jumpluff.png,grass,flying,0,0,0,0,1.0,0.5,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.5,0.25,1.0,1.0,4.0,1.0,1.0,1.0
fletchling,278,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/fletchling.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
fletchinder,382,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/fletchinder.png,fire,flying,0,0,0,0,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
talonflame,499,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/talonflame.png,fire,flying,0,0,0,0,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
pawmi,240,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/pawmi.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
pawmo,350,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/pawmo.png,electric,fighting,0,0,0,0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0
pawmot,490,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/pawmot.png,electric,fighting,0,0,0,0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0
houndour,330,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/houndour.png,dark,fire,0,0,0,0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0
houndoom,500,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/houndoom.png,dark,fire,0,0,0,0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.5,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0
yungoos,253,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/yungoos.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gumshoos,418,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/gumshoos.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
skwovet,275,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/skwovet.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
greedent,460,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/greedent.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sunkern,180,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/sunkern.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
sunflora,425,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/sunflora.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
kricketot,194,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/kricketot.png,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
kricketune,384,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/kricketune.png,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
scatterbug,200,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/scatterbug.png,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
spewpa,213,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/spewpa.png,bug,,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
vivillon,411,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/vivillon.png,bug,flying,0,0,0,0,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
combee,244,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/combee.png,bug,flying,0,0,0,0,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
vespiquen,474,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/vespiquen.png,bug,flying,0,0,0,0,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
rookidee,245,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/rookidee.png,flying,,0,0,0,0,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
corvisquire,365,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/corvisquire.png,flying,,0,0,0,0,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
corviknight,495,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/corviknight.png,flying,steel,0,0,0,0,0.5,1.0,0.5,0.0,0.0,1.0,0.25,1.0,0.5,2.0,1.0,0.25,2.0,0.5,1.0,0.5,1.0,0.5
happiny,220,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/happiny.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chansey,450,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/chansey.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
blissey,540,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/blissey.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
azurill,190,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/azurill.png,normal,fairy,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
marill,250,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/marill.png,water,fairy,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,2.0,2.0,1.0,0.5,0.0,0.5,1.0
azumarill,420,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/azumarill.png,water,fairy,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,2.0,2.0,1.0,0.5,0.0,0.5,1.0
surskit,269,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/surskit.png,bug,water,0,0,0,0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,0.5,1.0,1.0,1.0
masquerain,454,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/masquerain.png,bug,flying,0,0,0,0,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
buizel,330,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/buizel.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
floatzel,495,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/floatzel.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
wooper,210,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/wooper.png,poison,ground,0,0,0,0,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5
clodsire,430,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/clodsire.png,poison,ground,0,0,0,0,1.0,0.5,1.0,0.25,2.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.5
psyduck,320,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/psyduck.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
golduck,500,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/golduck.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
chewtle,284,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/chewtle.png,water,,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
drednaw,485,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/drednaw.png,water,rock,0,0,0,0,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0
igglybuff,210,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/igglybuff.png,normal,fairy,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
jigglypuff,270,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png,normal,fairy,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
wigglytuff,435,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png,normal,fairy,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
ralts,198,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/ralts.png,psychic,fairy,0,0,0,0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
kirlia,278,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/kirlia.png,psychic,fairy,0,0,0,0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
gardevoir,518,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/gardevoir.png,psychic,fairy,0,0,0,0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
gallade,518,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/gallade.png,psychic,fighting,0,0,0,0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
drowzee,328,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/drowzee.png,psychic,,0,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
hypno,483,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/hypno.png,psychic,,0,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
gastly,310,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/gastly.png,ghost,poison,0,0,0,0,0.0,0.0,1.0,0.25,2.0,1.0,0.25,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5
haunter,405,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/haunter.png,ghost,poison,0,0,0,0,0.0,0.0,1.0,0.25,2.0,1.0,0.25,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5
gengar,500,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar.png,ghost,poison,0,0,0,0,0.0,0.0,1.0,0.25,2.0,1.0,0.25,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5
tandemaus,305,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/tandemaus.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
maushold,470,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/maushold-family4.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pichu,205,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/pichu.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
pikachu,320,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
raichu,485,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
fidough,312,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/fidough.png,fairy,,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
dachsbun,477,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/dachsbun.png,fairy,,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
slakoth,280,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/slakoth.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vigoroth,440,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/vigoroth.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
slaking,670,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/slaking.png,normal,,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bounsweet,210,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/bounsweet.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
steenee,290,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/steenee.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
tsareena,510,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/tsareena.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
smoliv,260,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/smoliv.png,grass,normal,0,0,0,0,1.0,2.0,2.0,2.0,0.5,1.0,2.0,0.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
dolliv,354,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/dolliv.png,grass,normal,0,0,0,0,1.0,2.0,2.0,2.0,0.5,1.0,2.0,0.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
arboliva,510,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/arboliva.png,grass,normal,0,0,0,0,1.0,2.0,2.0,2.0,0.5,1.0,2.0,0.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
bonsly,290,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/bonsly.png,rock,,0,0,0,0,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
sudowoodo,410,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/sudowoodo.png,rock,,0,0,0,0,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
rockruff,280,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/rockruff.png,rock,,0,0,0,0,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
lycanroc,487,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/lycanroc-midday.png,rock,,0,0,0,0,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
rolycoly,240,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/rolycoly.png,rock,,0,0,0,0,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
carkol,410,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/carkol.png,rock,fire,0,0,0,0,0.5,2.0,0.5,0.5,4.0,2.0,0.5,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
coalossal,510,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/coalossal.png,rock,fire,0,0,0,0,0.5,2.0,0.5,0.5,4.0,2.0,0.5,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
shinx,263,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/shinx.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
luxio,363,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/luxio.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
luxray,523,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/luxray.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
starly,245,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/starly.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
staravia,340,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/staravia.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
staraptor,485,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/staraptor.png,normal,flying,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
oricorio,476,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/oricorio-baile.png,fire,flying,0,0,0,0,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
mareep,280,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/mareep.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
flaaffy,365,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/flaaffy.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
ampharos,510,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/ampharos.png,electric,,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
petilil,280,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/petilil.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
lilligant,480,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/lilligant.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
shroomish,295,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/shroomish.png,grass,,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
breloom,460,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/breloom.png,grass,fighting,0,0,0,0,1.0,1.0,4.0,2.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,2.0
